Year,State_Abbr,State,Violent_Crime,Homicides,Rape_Legacy,Rape_Revised,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny,Motor_Vehicle_Theft,LEOs,Population,LEOs_per_1000
2000,AK,Alaska,3554,27,497,,490,2540,23087,3899,16838,2350,1158,627963,1.844057691
2000,AL,Alabama,21620,329,1482,,5702,14107,180539,40331,127399,12809,10298,4452173,2.313027818
2000,AR,Arkansas,11904,168,848,,2001,8887,98115,21443,69740,6932,6520,2678588,2.434118274
2000,AZ,Arizo,27281,359,1577,,7504,17841,271811,51902,176705,43204,10455,5160586,2.025932714
2000,CA,California,210531,2079,9785,,60249,138418,1056183,222293,651855,182035,73095,33987977,2.150613436
2000,CO,Colorado,14367,134,1774,,3034,9425,156937,27133,112843,16961,11373,4326921,2.628427928
2000,CT,Connecticut,11058,98,678,,3832,6450,99033,17436,68498,13099,9436,3411777,2.765714172
2000,DC,District of Columbia,8626,239,251,,3554,4582,33000,4745,21655,6600,4247,572046,7.424228122
2000,DE,Delaware,5363,25,424,,1394,3520,29727,5216,21360,3151,2649,786373,3.368630408
2000,FL,Florida,129777,903,7057,,31809,90008,780377,172898,518298,89181,41283,16047515,2.572547837
2000,GA,Georgia,41319,651,1968,,13250,25450,347630,68488,240440,38702,24828,8227303,3.017756852
2000,HI,Hawaii,2954,35,346,,1123,1450,60033,10665,43254,6114,3285,1213519,2.707003351
2000,IA,Iowa,7796,46,676,,1071,6003,86834,16342,65118,5374,5300,2929067,1.809449903
2000,ID,Idaho,3267,16,384,,223,2644,37961,7330,28545,2086,2587,1299430,1.990872921
2000,IL,Illinois,81196,898,3926,,25641,50731,445278,81850,313161,50267,37101,12434161,2.983796012
2000,IN,India,21230,352,1759,,6282,12837,206905,41108,144707,21090,11185,6091866,1.836054831
2000,KS,Kansas,10470,169,1022,,2048,7231,108057,21484,80077,6496,8505,2693681,3.157389461
2000,KY,Kentucky,11903,193,1091,,3256,7363,107723,25308,73141,9274,8211,4049021,2.027897608
2000,LA,Louisia,30440,560,1497,,7532,20851,211904,46289,144345,21270,17248,4471885,3.856986483
2000,MA,Massachusetts,30230,125,1696,,5815,22594,161901,30600,105425,25876,17774,6361104,2.794169062
2000,MD,Maryland,41663,430,1543,,13560,26130,213422,39426,145423,28573,14906,5311034,2.806609786
2000,ME,Maine,1397,15,320,,247,815,32003,6775,23906,1322,2221,1277072,1.73913452
2000,MI,Michigan,55159,669,5025,,13712,35753,353297,69790,227783,55724,22764,9952450,2.287275997
2000,MN,Minnesota,13813,151,2240,,3713,7709,157798,26116,118250,13432,8449,4933692,1.712510631
2000,MO,Missouri,27419,347,1351,,7598,18123,225919,41685,159539,24695,12136,5607285,2.164327299
2000,MS,Mississippi,10267,255,1019,,2703,6290,103644,26918,69758,6968,5900,2848353,2.071372474
2000,MT,Monta,2807,20,308,,203,2276,32198,3624,26678,1896,1549,903773,1.713925953
2000,NC,North Caroli,40051,560,2181,,12595,24715,355921,97888,232767,25266,20710,8081614,2.562606925
2000,ND,North Dakota,523,4,169,,56,294,14171,2093,11092,986,1193,642023,1.858188881
2000,NE,Nebraska,5606,63,436,,1147,3960,64479,10131,49118,5230,3410,1713820,1.989707204
2000,NH,New Hampshire,2167,22,522,,453,1170,27901,4992,20761,2148,2663,1239882,2.147785031
2000,NJ,New Jersey,32298,289,1357,,13553,17099,233637,43924,155562,34151,30718,8430621,3.643622457
2000,NM,New Mexico,13786,135,922,,2499,10230,86605,21339,57925,7341,4197,1821204,2.304519428
2000,NV,Nevada,10474,129,860,,4543,4942,74823,17526,44125,13172,4828,2018741,2.39158961
2000,NY,New York,105111,952,3530,,40539,60090,483078,87946,340901,54231,67720,19001780,3.563876647
2000,OH,Ohio,37935,418,4271,,15610,17636,420939,88636,293277,39026,24754,11363543,2.178369897
2000,OK,Oklahoma,17177,182,1422,,2615,12958,140125,31661,96116,12348,7069,3454365,2.046396371
2000,OR,Oregon,12000,70,1286,,2888,7756,153780,25618,114230,13932,5761,3429708,1.679734835
2000,PA,Pennsylvania,51584,602,3247,,18155,29580,316274,54080,225869,36325,25861,12284173,2.105229225
2000,RI,Rhode Island,3121,45,412,,922,1742,33323,6620,22038,4665,2459,1050268,2.341307171
2000,SC,South Caroli,33225,291,1660,,6220,25054,181290,40319,125385,15586,11277,4024223,2.802280092
2000,SD,South Dakota,1259,7,305,,131,816,16252,2896,12558,798,1396,755844,1.846941962
2000,TN,Tennessee,40233,410,2186,,9465,28172,237985,56344,154111,27530,19275,5703719,3.379374054
2000,TX,Texas,113653,1238,7856,,30257,74302,919658,188975,637522,93161,47677,20944499,2.276349508
2000,UT,Utah,5711,43,863,,1242,3563,94247,14348,73438,6461,5348,2244502,2.382711176
2000,VA,Virginia,19943,401,1616,,6295,11631,194405,30434,146158,17813,17765,7105817,2.500064384
2000,VT,Vermont,691,9,140,,117,425,17494,3501,13184,809,1015,609618,1.664977084
2000,WA,Washington,21788,196,2737,,5812,13043,279144,53476,190650,35018,10406,5910512,1.760591976
2000,WI,Wisconsin,12700,169,1165,,4537,6829,159424,25183,119605,14636,13077,5373999,2.433383408
2000,WV,West Virginia,5723,46,331,,749,4597,41344,9890,28139,3315,3496,1807021,1.934675911
2000,WY,Wyoming,1316,12,160,,70,1074,14969,2078,12318,573,1219,494300,2.466113696
2001,AK,Alaska,3735,39,501,,514,2681,23160,3847,16695,2618,1204,633714,1.899910685
2001,AL,Alabama,19582,379,1369,,5584,12250,173253,40642,119992,12619,10237,4467634,2.291369436
2001,AR,Arkansas,12190,148,892,,2181,8969,99106,22196,69590,7320,6506,2691571,2.417175694
2001,AZ,Arizo,28675,400,1518,,8868,17889,293874,54821,186850,52203,10871,5273477,2.061448263
2001,CA,California,212867,2206,9960,,64614,136087,1134189,232273,697739,204177,73516,34479458,2.132168087
2001,CO,Colorado,15492,158,1930,,3555,9849,170887,28533,121360,20994,11958,4425687,2.701953392
2001,CT,Connecticut,11492,105,639,,4183,6565,95299,17159,65762,12378,9524,3432835,2.774383272
2001,DC,District of Columbia,9195,231,181,,3780,5003,35232,4949,22313,7970,4569,574504,7.952947238
2001,DE,Delaware,4868,23,420,,1156,3269,27399,5144,19476,2779,2791,795699,3.507607776
2001,FL,Florida,130713,874,6641,,32867,90331,782517,176052,516548,89917,41921,16356966,2.562883606
2001,GA,Georgia,41671,598,2180,,14402,24491,347872,71799,238484,37589,34689,8377038,4.140962474
2001,HI,Hawaii,3117,32,409,,1142,1534,62830,11162,44925,6743,3179,1225948,2.593095303
2001,IA,Iowa,7865,50,649,,1154,6012,88634,16885,66244,5505,5431,2931997,1.852321131
2001,ID,Idaho,3211,30,425,,245,2511,38181,7507,28285,2389,2647,1319962,2.00536076
2001,IL,Illinois,79270,982,4010,,24931,49347,434648,79158,306757,48733,37071,12488445,2.968424011
2001,IN,India,22734,413,1716,,7171,13434,211548,42758,147291,21499,11137,6127760,1.817466742
2001,KS,Kansas,10909,92,945,,2423,7449,105537,20514,77038,7985,8442,2702162,3.12416502
2001,KY,Kentucky,10510,181,1051,,3269,6009,107356,26964,71448,8944,8644,4068132,2.124808143
2001,LA,Louisia,30678,501,1403,,7864,20910,207693,46451,139555,21687,16831,4477875,3.75870251
2001,MA,Massachusetts,30585,143,1856,,6476,22110,167079,32430,106821,27828,17450,6397634,2.727570849
2001,MD,Maryland,42088,446,1449,,13525,26668,219512,41553,145934,32025,15151,5374691,2.818952755
2001,ME,Maine,1435,19,326,,264,826,33154,6898,24585,1671,2243,1285692,1.744585795
2001,MI,Michigan,55424,672,5264,,12937,36551,352353,72038,226708,53607,22785,9991120,2.280525106
2001,MN,Minnesota,13145,119,2236,,3758,7032,165046,25496,124519,15031,8562,4982796,1.718312369
2001,MO,Missouri,30472,372,1383,,7771,20946,238411,42977,167420,28014,12271,5641142,2.175268767
2001,MS,Mississippi,10006,282,1147,,3294,5283,109609,29821,70315,9473,5843,2852994,2.048023936
2001,MT,Monta,3187,34,188,,230,2735,30175,3670,24684,1821,1660,906961,1.830288182
2001,NC,North Caroli,40465,505,2083,,13304,24573,363777,101889,237241,24647,21183,8210122,2.580107823
2001,ND,North Dakota,505,7,164,,60,274,14834,2165,11583,1086,1166,639062,1.824549105
2001,NE,Nebraska,5214,43,431,,1128,3612,68963,9760,52713,6490,3557,1719836,2.068220458
2001,NH,New Hampshire,2144,17,458,,445,1224,27089,4889,20060,2140,3006,1255517,2.394232814
2001,NJ,New Jersey,33094,336,1278,,14110,17370,240551,46812,156031,37708,31069,8492671,3.658330813
2001,NM,New Mexico,14288,99,850,,2695,10644,83095,19552,56406,7137,4028,1831690,2.199062068
2001,NV,Nevada,12359,180,883,,4932,6364,77486,17711,45073,14702,4518,2098399,2.153070031
2001,NY,New York,98022,960,3546,,36555,56961,458003,80400,329316,48287,66953,19082838,3.508545217
2001,OH,Ohio,40023,452,4466,,17199,17906,435115,96910,295976,42229,25469,11387404,2.236594047
2001,OK,Oklahoma,17726,185,1486,,2746,13309,141679,34573,94537,12569,7204,3467100,2.077817196
2001,OR,Oregon,10650,84,1174,,2749,6643,164524,26648,123034,14842,5913,3467937,1.705048275
2001,PA,Pennsylvania,50432,651,3467,,17500,28814,313408,54345,223350,35713,25974,12298970,2.111884166
2001,RI,Rhode Island,3278,39,416,,986,1837,35742,6824,23875,5043,2448,1057142,2.315677553
2001,SC,South Caroli,33114,330,1769,,5987,25028,186054,42611,126742,16701,11473,4064995,2.822389695
2001,SD,South Dakota,1171,7,351,,103,710,16473,3087,12571,815,1408,757972,1.857588407
2001,TN,Tennessee,42776,423,2196,,10219,29938,252992,59705,165015,28272,16070,5750789,2.794399169
2001,TX,Texas,122155,1332,8169,,35348,77306,976654,204362,669625,102667,48771,21319622,2.287610915
2001,UT,Utah,5314,67,896,,1197,3154,90993,13804,70676,6513,5222,2283715,2.286625082
2001,VA,Virginia,20939,364,1770,,6860,11945,207506,31604,157060,18842,17978,7198362,2.497512629
2001,VT,Vermont,644,7,107,,107,423,16334,3150,12426,758,1018,612223,1.662792806
2001,WA,Washington,21258,179,2600,,5934,12545,287234,53024,195133,39077,10610,5985722,1.772551415
2001,WI,Wisconsin,12486,192,1142,,4444,6708,166924,26927,125275,14722,13172,5406835,2.436175692
2001,WV,West Virginia,5035,40,320,,707,3968,41085,9601,28268,3216,3533,1801481,1.961164175
2001,WY,Wyoming,1272,9,153,,84,1026,16120,2481,12943,696,1270,494657,2.567435617
2002,AK,Alaska,3627,33,511,,489,2594,24118,3908,17739,2471,1203,642337,1.872848676
2002,AL,Alabama,19931,303,1664,,5962,12002,180400,42578,123932,13890,10292,4480089,2.297275791
2002,AR,Arkansas,11501,142,754,,2524,8081,101171,23229,71129,6813,6773,2705927,2.503023917
2002,AZ,Arizo,30171,387,1608,,8000,20176,318296,59087,201541,57668,11036,5396255,2.045122034
2002,CA,California,208388,2395,10198,,64968,130827,1176484,238428,715692,222364,76634,34871843,2.197589614
2002,CO,Colorado,15882,179,2066,,3579,10058,180054,31678,125193,23183,11706,4490406,2.606891225
2002,CT,Connecticut,10807,84,740,,4069,5914,93426,17111,64735,11580,9522,3458749,2.753018505
2002,DC,District of Columbia,9322,264,262,,3834,4962,36477,5170,21708,9599,4623,573158,8.065838739
2002,DE,Delaware,4836,26,358,,1154,3298,26967,5355,18555,3057,3099,806169,3.844107129
2002,FL,Florida,128721,911,6753,,32581,88476,777236,177242,511478,88516,42787,16689370,2.56372769
2002,GA,Georgia,39271,606,2108,,13432,23125,346559,73932,234591,38036,24784,8508256,2.912935389
2002,HI,Hawaii,3262,24,372,,1210,1656,71976,12722,49344,9910,3220,1239613,2.597584891
2002,IA,Iowa,8388,44,797,,1169,6378,92877,18643,68411,5823,5333,2934234,1.817510124
2002,ID,Idaho,3419,36,497,,240,2646,39128,7441,29060,2627,2650,1340372,1.977063084
2002,IL,Illinois,75759,961,4370,,25314,45114,430479,81440,304227,44812,36637,12525556,2.924979937
2002,IN,India,22001,362,1843,,6612,13184,208965,42605,146073,20287,11350,6155967,1.843739578
2002,KS,Kansas,10229,78,1035,,2165,6951,100768,19679,73877,7212,7894,2713535,2.909120391
2002,KY,Kentucky,11101,191,1087,,3131,6692,108590,26891,72378,9321,8922,4089875,2.181484764
2002,LA,Louisia,29690,593,1529,,7123,20445,198838,45350,133302,20186,17530,4497267,3.897922894
2002,MA,Massachusetts,31137,173,1777,,7169,22018,167753,33243,107922,26588,17760,6417206,2.767559589
2002,MD,Maryland,42015,513,1370,,13417,26715,217105,39765,143320,34020,15328,5440389,2.817445591
2002,ME,Maine,1396,14,377,,270,735,32985,6965,24591,1429,2248,1295960,1.734621439
2002,MI,Michigan,54306,678,5364,,11847,36417,335060,70970,214367,49723,24709,10015710,2.467024305
2002,MN,Minnesota,13428,112,2273,,3937,7106,164026,28034,122150,13842,9448,5018935,1.882471082
2002,MO,Missouri,30557,331,1465,,7024,21737,230520,42721,159921,27878,13399,5674825,2.361130079
2002,MS,Mississippi,9858,264,1127,,3356,5111,109584,29593,70468,9523,5877,2858681,2.055843237
2002,MT,Monta,3197,16,237,,283,2661,28751,3289,23679,1783,1692,911667,1.85594082
2002,NC,North Caroli,39118,548,2196,,12205,24169,353708,99535,229307,24866,21233,8326201,2.550142616
2002,ND,North Dakota,496,5,163,,58,270,14762,2243,11501,1018,1169,638168,1.831806045
2002,NE,Nebraska,5428,48,464,,1359,3557,68178,10329,51440,6409,3550,1728292,2.054051052
2002,NH,New Hampshire,2056,12,446,,413,1185,26250,4838,19468,1944,3244,1269089,2.556164304
2002,NJ,New Jersey,32252,339,1365,,13955,16593,227715,43899,148061,35755,31026,8552643,3.62765054
2002,NM,New Mexico,13719,152,1027,,2206,10334,80477,19634,53406,7437,4155,1855309,2.239519131
2002,NV,Nevada,13856,181,928,,5118,7629,83896,18951,47459,17486,4926,2173791,2.266087218
2002,NY,New York,95030,909,3885,,36653,53583,442091,76700,318025,47366,65510,19137800,3.423068482
2002,OH,Ohio,40128,526,4809,,17871,16922,428976,99164,287045,42767,25715,11407889,2.254141849
2002,OK,Oklahoma,17587,163,1573,,2966,12885,148128,35171,100185,12772,7231,3489080,2.072466094
2002,OR,Oregon,10298,72,1238,,2742,6246,161145,25696,118925,16524,6032,3513424,1.71684374
2002,PA,Pennsylvania,49578,624,3731,,17163,28060,300868,55610,212441,32817,26481,12331031,2.147508996
2002,RI,Rhode Island,3051,41,395,,916,1699,35342,6415,24051,4876,2494,1065995,2.339598216
2002,SC,South Caroli,33761,298,1959,,5774,25730,183808,43745,123196,16867,11235,4107795,2.735043983
2002,SD,South Dakota,1350,11,361,,117,861,15992,3034,12139,819,1390,760020,1.828899239
2002,TN,Tennessee,41562,420,2290,,9413,29439,249399,61248,161610,26541,16432,5795918,2.835098771
2002,TX,Texas,126018,1302,8508,,37580,78628,1004274,212602,688992,102680,48934,21690325,2.256028898
2002,UT,Utah,5488,47,943,,1140,3358,97641,15124,74795,7722,4756,2324815,2.045754178
2002,VA,Virginia,21256,388,1839,,6961,12068,207783,31757,157548,18478,17627,7286873,2.41900744
2002,VT,Vermont,658,13,126,,77,442,14942,3489,10684,769,1031,615442,1.675218786
2002,WA,Washington,20964,184,2734,,5797,12249,288967,54948,193526,40493,10736,6052349,1.773856729
2002,WI,Wisconsin,12238,154,1237,,4713,6134,164749,27926,123365,13458,13216,5445162,2.427108688
2002,WV,West Virginia,4221,57,328,,657,3179,41099,9677,27524,3898,3450,1805414,1.910919047
2002,WY,Wyoming,1364,15,148,,93,1108,16494,2448,13303,743,1270,500017,2.539913643
2003,AK,Alaska,3877,39,605,,446,2787,24386,3874,18051,2461,1174,648414,1.810571641
